,rotulo_sentimento,bpm,genero_Classical,genero_Funk,genero_Hip-Hop,genero_Pop,genero_Rock,humor_Emotional,humor_Energetic,humor_Joyful,humor_Melancholic,humor_Powerful,humor_Soothing,energia_Low,dancabilidade_Low,dancabilidade_Medium
24,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
25,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
26,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
27,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
28,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
29,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
30,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
31,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
32,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
33,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
34,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
35,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
36,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
37,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
38,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
39,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
40,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
41,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
42,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
43,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
44,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
45,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
46,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
47,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
48,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
49,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
50,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
51,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
52,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
53,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
54,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
55,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
56,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
57,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
58,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
59,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
60,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
61,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
62,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
63,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
64,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
65,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
66,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
67,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
68,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
69,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
70,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
71,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
72,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
73,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
74,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
75,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
76,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
77,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
78,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
79,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
80,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
81,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
82,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
83,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
84,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
85,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
86,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
87,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
88,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
89,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
90,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
91,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
92,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
93,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
94,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
95,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
96,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
97,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
98,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
99,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
100,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
101,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
102,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
103,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
104,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
105,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
106,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
107,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
108,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
109,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
110,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
111,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
112,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
113,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
114,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
115,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
116,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
117,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
118,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
119,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
120,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
121,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
122,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
123,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
125,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
126,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
127,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
128,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
129,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
130,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
131,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
132,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
133,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
134,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
135,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
136,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
137,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
138,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
139,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
140,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
141,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
142,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
143,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
144,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
145,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
146,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
147,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
148,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
149,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
150,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
151,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
152,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
153,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
154,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
155,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
156,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
157,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
158,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
159,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
160,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
161,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
162,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
163,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
164,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
165,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
166,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
167,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
168,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
169,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
170,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
171,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
172,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
173,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
174,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
175,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
176,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
177,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
178,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
179,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
180,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
181,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
182,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
183,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
184,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
185,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
186,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
187,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
188,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
189,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
190,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
191,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
192,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
193,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
194,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
195,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
196,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
197,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
198,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
199,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
200,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
201,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
202,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
203,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
204,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
205,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
206,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
207,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
208,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
209,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
210,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
211,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
212,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
213,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
214,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
215,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
216,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
217,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
218,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
219,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
220,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
221,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
222,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
223,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
224,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
225,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
226,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
227,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
228,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
229,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
230,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
231,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
232,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
233,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
234,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
235,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
236,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
237,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
238,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
239,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
240,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
241,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
242,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
243,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
244,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
245,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
246,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
247,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
248,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
249,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
250,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
251,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
252,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
253,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
254,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
255,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
256,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
257,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
258,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
259,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
260,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
261,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
262,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
263,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
264,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
265,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
266,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
267,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
268,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
269,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
270,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
271,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
272,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
273,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
274,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
275,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
276,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
277,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
278,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
279,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
280,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
281,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
282,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
283,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
284,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
285,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
286,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
287,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
288,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
289,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
290,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
291,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
292,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
293,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
294,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
295,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
296,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
297,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
298,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
299,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
300,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
301,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
302,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
303,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
304,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
305,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
306,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
307,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
308,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
309,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
310,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
311,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
312,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
313,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
314,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
315,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
316,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
317,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
318,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
319,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
320,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
321,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
322,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
323,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
324,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
325,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
326,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
327,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
328,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
329,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
330,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
331,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
